ID,Name,Concepticon_ID,Concepticon_Gloss
098,MOUNTAIN,639,MOUNTAIN
099,MOUTH,674,MOUTH
126,SAND,671,SAND
090,TO LIVE,1422,BE ALIVE
091,LIVER,1224,LIVER
092,LONG,1203,LONG
093,LOUSE,1392,LOUSE
094,MAN (MALE),1554,MAN
095,MANY,1198,MANY
096,MEAT (FLESH),634,MEAT
097,MOTHER,1216,MOTHER
010,BELLY,1251,BELLY
011,BIG,1202,BIG
012,BIRD,937,BIRD
013,TO BITE,1403,BITE
014,BLACK,163,BLACK
015,BLOOD,946,BLOOD
016,TO BLOW (WIND),175,BLOW (OF WIND)
017,BONE,1394,BONE
018,TO BREATHE,1407,BREATHE
019,TO BURN (INTRANSITIVE),1428,BURNING
127,TO SAY,1458,SAY
138,SKY,1732,SKY
198,YE,1213,YOU
025,TO CUT,1432,CUT
024,TO COUNT,1420,COUNT
027,TO DIE,1494,DIE
026,DAY (NOT NIGHT),1225,DAY (NOT NIGHT)
021,CLOUD,1489,CLOUD
020,CHILD (YOUNG),2099,CHILD
023,TO COME,1446,COME
022,COLD (WEATHER),2483,COLD (OF WEATHER)
128,SCRATCH (ITCH),1436,SCRATCH
129,SEA (OCEAN),1474,SEA
029,DIRTY,1230,DIRTY
028,TO DIG,1418,DIG
133,SHARP (KNIFE),1396,SHARP
132,TO SEW,1457,SEW
131,SEED,714,SEED
130,TO SEE,1409,SEE
137,SKIN (OF PERSON),763,SKIN
136,TO SIT,1416,SIT
199,YEAR,1226,YEAR
135,TO SING,1261,SING
200,YELLOW,1424,YELLOW
195,WOMAN,962,WOMAN
194,WITH (ACCOMPANYING),1340,WITH
197,WORM,1219,WORM
134,SHORT,1645,SHORT
191,WIND (BREEZE),960,WIND
144,SNAKE,730,SNAKE
193,WIPE,1454,WIPE
192,WING,1257,WING
115,TO RAIN,1253,RAIN (RAINING)
114,TO PUSH,1452,PUSH
038,EGG,744,EGG
039,EYE,1248,EYE
111,PERSON,683,PERSON
110,OTHER,197,OTHER
113,TO PULL,1455,PULL
112,TO PLAY,1413,PLAY
032,DRY (SUBSTANCE),1398,DRY
033,DULL (KNIFE),379,BLUNT
030,DOG,2009,DOG
031,TO DRINK,1401,DRINK
036,EARTH (SOIL),1228,EARTH (SOIL)
037,TO EAT,1336,EAT
034,DUST,2,DUST
035,EAR,1247,EAR
174,TREE,906,TREE
173,TOOTH (FRONT),1380,TOOTH
172,TONGUE,1205,TONGUE
171,TO TIE,1917,TIE
170,TO THROW,1456,THROW
178,TO WALK,1443,WALK
108,OLD,1229,OLD
109,ONE,1493,ONE
196,WOODS,420,FOREST
148,TO SPLIT,1437,SPLIT
049,FISH,227,FISH
048,FIRE,221,FIRE
047,TO FIGHT,1423,FIGHT
046,FEW,1242,FEW
045,FEATHER (LARGE),1201,FEATHER
044,TO FEAR,1419,FEAR (BE AFRAID)
043,FATHER,1217,FATHER
042,FAT (SUBSTANCE),323,FAT (ORGANIC SUBSTANCE)
041,FAR,1406,FAR
040,TO FALL (DROP),1280,FALL
139,TO SLEEP,1585,SLEEP
177,TO VOMIT,1278,VOMIT
151,TO STAND,1442,STAND
150,TO STAB (OR STICK),1434,STAB
176,TWO,1498,TWO
153,STICK (OF WOOD),1295,STICK
102,NEAR,1942,NEAR
152,STAR,1430,STAR
058,TO FREEZE,1431,FREEZE
059,FRUIT,1507,FRUIT
179,WARM (WEATHER),2110,WARM (OF WEATHER)
103,NECK,1333,NECK
054,TO FLY,1441,FLY (MOVE THROUGH AIR)
055,FOG,249,FOG
056,FOOT,1301,FOOT
057,FOUR,1500,FOUR
050,FIVE,493,FIVE
051,TO FLOAT,1574,FLOAT
052,TO FLOW,2003,FLOW
053,FLOWER,239,FLOWER
101,NARROW,1267,NARROW
157,SUN,1343,SUN
106,NOSE,1221,NOSE
175,TO TURN (VEER),1588,TURN
156,TO SUCK,1421,SUCK
145,SNOW,784,SNOW
107,NOT,1240,NOT
182,WE,1212,WE
183,WET,1726,WET
180,TO WASH,1453,WASH
181,WATER,948,WATER
186,WHERE,1237,WHERE
104,NEW,1231,NEW
184,WHAT,1236,WHAT
185,WHEN,1238,WHEN
188,WHO,1235,WHO
105,NIGHT,1233,NIGHT
187,WHITE,1335,WHITE
061,GOOD,1035,GOOD
060,TO GIVE,1447,GIVE
063,GREEN,1425,GREEN
062,GRASS,606,GRASS
065,HAIR,1040,HAIR
064,GUTS,1334,GUTS
067,HE,1211,HE
066,HAND,1277,HAND
069,TO HEAR,1408,HEAR
068,HEAD,1256,HEAD
190,WIFE,1199,WIFE
168,THOU,1215,THOU
169,THREE,492,THREE
164,THICK,1244,THICK
165,THIN,2308,THIN
166,TO THINK,2271,THINK
167,THIS,1214,THIS
160,TAIL,1220,TAIL
161,THAT,78,THAT
162,THERE,1937,THERE
163,THEY,817,THEY
189,WIDE,1243,WIDE
117,RIGHT (CORRECT),1019,RIGHT
116,RED,156,RED
076,TO HUNT (GAME),1435,HUNT
077,HUSBAND,1200,HUSBAND
074,HOLD (IN HAND),1448,HOLD
075,HOW,1239,HOW
072,HERE,136,HERE
073,TO HIT,1433,HIT
070,HEART,1223,HEART
071,HEAVY,1210,HEAVY
159,TO SWIM,1439,SWIM
158,TO SWELL,1573,SWELL
078,I,1209,I
079,ICE,617,ICE
100,NAME,1405,NAME
149,TO SQUEEZE,1414,SQUEEZE
119,RIVER,666,RIVER
118,RIGHT (HAND),1019,RIGHT
155,STRAIGHT,1404,STRAIGHT
146,SOME,1241,SOME
147,TO SPIT,1440,SPIT
089,TO LIE (ON SIDE),1411,LIE (REST)
088,LEG,1297,LEG
142,SMOKE,778,SMOKE (EXHAUST)
143,SMOOTH,1234,SMOOTH
140,SMALL,1246,SMALL
141,TO SMELL (PERCEIVE ODOR),2124,SMELL
083,KNOW (FACTS),1410,KNOW (SOMETHING)
082,TO KILL,1417,KILL
081,IN,1460,IN
080,IF,1459,IF
087,LEFT (HAND),244,LEFT
086,LEAF,628,LEAF
085,TO LAUGH,1355,LAUGH
084,LAKE,624,LAKE
003,ANIMAL,619,ANIMAL
002,AND,1577,AND
001,ALL,98,ALL
007,BAD,1292,BAD
006,BACK,1291,BACK
005,AT,1461,AT
004,ASHES,646,ASH
154,STONE,857,STONE
009,BECAUSE,1157,BECAUSE
008,BARK (OF A TREE),1204,BARK
120,ROAD,667,ROAD
121,ROOT,670,ROOT
122,ROPE,1218,ROPE
123,ROTTEN (LOG),1728,ROTTEN
124,RUB,1449,RUB
125,SALT,1274,SALT
